,grade,负债水平,年龄,closed_accounts,past_due_accounts,open_accounts,enquiry_alert,一年内信用卡查询次数,一年内贷款查询次数,在用信用卡数,信用卡总额度,信用卡平均额度,当前贷款笔数,贷款总额度,贷款平均额度,近一年逾期30天以上次数,平均每月还款额,学历,就业状况
894,,77593,25,0,0,7,29,0,16,0,0,0,7,98000,14000,0,1138,,
895,,318491,36,9,0,7,31,2,11,1,20000,20000,6,251142,41857,2,61017,,
896,,238531,50,16,0,2,59,0,3,1,140000,140000,1,100000,100000,6,27376,,
897,,245640,58,1,0,3,18,0,2,0,0,0,3,273000,91000,0,45327,,
898,,9878,22,2,0,1,25,0,0,1,10000,10000,0,0,0,0,667,,
899,,207605,26,5,0,3,39,0,13,1,80000,80000,2,130000,65000,0,13938,,
900,,321271,51,3,0,2,25,0,0,1,24000,24000,1,250000,250000,0,110917,,
901,,29376,19,1,0,1,14,1,6,0,0,0,1,30000,30000,0,16156,,
902,,-3,26,9,0,0,39,2,1,0,0,0,0,0,0,6,12294,,
903,,40947,20,0,0,4,12,2,2,3,11000,3667,1,30000,30000,0,0,,
904,,205477,38,14,0,2,14,0,0,0,0,0,2,146293,73147,5,2913,,
905,,774450,49,16,0,17,147,2,3,15,1782981,118865,2,760000,380000,0,1597,,
906,,291467,24,3,0,6,112,0,4,3,8000,2667,3,326294,108765,0,40736,,
907,,63422,22,0,0,7,40,2,7,4,20000,5000,3,74000,24667,0,785,,
908,,529249,49,24,0,7,47,0,24,0,0,0,7,440000,62857,9,31647,,
909,,254454,38,20,0,5,58,0,7,0,0,0,5,365000,73000,0,17124,,
910,,94315,24,1,0,3,72,0,1,1,28000,28000,2,122625,61313,0,1734,,
911,,425968,28,7,0,5,80,0,13,6,105700,17617,4,800000,200000,0,14079,,
912,,52849,30,0,0,4,31,0,5,0,0,0,4,65000,16250,0,1929,,
913,,60039,24,0,0,1,16,4,9,0,0,0,2,120000,60000,0,2600,,
914,,197193,58,3,0,7,91,0,6,6,183000,30500,1,30000,30000,0,1243,,
915,,52231,44,6,0,5,64,1,0,4,147000,36750,1,23000,23000,0,6208,,
916,,10952,28,2,0,5,63,2,2,5,150000,30000,0,0,0,0,585,,
917,,434286,26,7,0,8,79,1,22,1,73000,73000,7,450000,64286,1,3821,,
918,,59775,20,0,0,8,67,3,2,8,58000,7250,0,0,0,0,500,,
919,,382498,22,9,0,5,113,4,11,2,54000,27000,3,357132,119044,1,20233,,
920,,-3,21,3,0,0,23,1,5,0,0,0,0,0,0,0,4965,,
921,,233523,25,2,0,4,40,0,10,1,54000,54000,3,150000,50000,0,1085,,
922,,93568,30,6,0,1,97,0,0,0,0,0,1,124498,124498,0,11816,,
923,,401839,30,5,0,3,94,0,2,1,113000,113000,2,338000,169000,2,7275,,
924,,38441,26,4,0,3,62,0,5,1,8000,8000,2,50000,25000,2,3190,,
925,,180275,41,0,0,2,59,0,0,1,54000,54000,1,179000,179000,0,3115,,
926,,16387,23,2,0,3,36,3,7,2,20000,10000,1,10000,10000,0,954,,
927,,180575,24,25,0,6,55,0,26,0,0,0,6,167000,27833,0,4456,,
928,,20305,25,0,0,1,25,0,5,0,0,0,1,19997,19997,0,900,,
929,,438440,26,15,0,13,143,1,13,7,237800,33971,6,245000,40833,2,6156,,
930,,41716,43,2,0,3,7,0,6,0,0,0,3,45000,15000,0,984,,
931,,1885,23,0,0,1,32,0,7,0,0,0,1,5000,5000,0,507,,
932,,138473,23,0,0,7,32,1,7,1,10000,10000,6,135000,22500,0,1193,,
933,,524786,37,10,0,6,77,1,26,2,48000,24000,10,890000,89000,4,8625,,
934,,149812,27,0,0,6,62,4,12,5,133500,26700,1,27750,27750,0,1413,,
935,,538302,31,6,0,7,84,1,7,2,107000,53500,5,508000,101600,2,10083,,
936,,282754,37,9,0,5,51,5,10,2,41000,20500,3,192000,64000,1,25054,,
937,,184586,27,2,0,4,41,1,5,2,37000,18500,2,160000,80000,0,16238,,
938,,168503,24,0,0,3,20,1,4,2,96000,48000,1,80000,80000,0,1540,,
939,,63882,23,13,0,7,127,0,23,0,0,0,7,120000,17143,2,25778,,
940,,122500,22,2,0,8,107,7,13,5,43000,8600,3,95000,31667,1,1405,,
941,,281642,24,0,0,4,53,1,1,2,66000,33000,2,210000,105000,0,1013,,
942,,353125,32,7,0,7,94,0,8,2,92000,46000,5,358337,71667,0,16563,,
943,,8134,21,0,0,2,11,2,0,2,16000,8000,0,0,0,0,115,,
944,,109316,34,8,0,4,62,0,19,0,0,0,4,128000,32000,1,50109,,
945,,118627,26,2,0,2,56,0,1,1,23000,23000,1,100000,100000,0,1120,,
946,,366441,30,4,0,9,144,0,4,6,146000,24333,3,221500,73833,1,5875,,
947,,611259,25,12,0,4,78,2,9,2,35000,17500,2,330000,165000,0,103259,,
948,,220149,30,2,0,6,60,0,12,1,28000,28000,5,210000,42000,0,7910,,
949,,0,23,0,0,1,6,0,0,0,0,0,1,99900,99900,0,0,,
950,,309220,31,18,0,4,82,2,19,0,0,0,4,311136,77784,4,12500,,
951,,20531,37,8,0,1,38,7,0,1,20000,20000,0,0,0,4,840,,
952,,149876,29,15,0,8,138,7,29,1,5000,5000,7,240373,34339,1,10142,,
953,,160554,25,9,0,4,37,0,3,0,0,0,4,166000,41500,0,3123,,
954,,111761,32,1,0,3,34,2,4,0,0,0,3,120000,40000,0,8867,,
955,,125321,21,2,0,6,92,0,5,4,107000,26750,2,58430,29215,0,2418,,
956,,121346,25,10,0,5,104,3,18,3,34000,11333,2,130000,65000,1,2693,,
957,,21146,18,0,0,2,4,1,3,0,0,0,2,20000,10000,0,1728,,
