是否逾期,申请时段,grade,closed_accounts,open_accounts,enquiry_alert,人脸相似度,电话使用时长,年龄,分区,信用卡额度使用率,信用卡数,信用卡平均额度,贷款数,贷款平均额度,平均分期金额,平均期数,90天内贷款查询次数,180天内贷款查询次数,120天内信用卡查询次数,365天内信用卡查询次数,历史近两年逾期最大天数,ULC33S,近三个月逾期天数,G207O,dsr_before,身份证号首字母,历史申请贷款查询数,开户成功率,total_monthly_obligation
否,14点,II,13,6,38,0.45,半年到一年,34,葵青,0.72,2,72500,4,60990,3532,36,1,4,0,0,8,410159,0,17282,86,Z,15,1.2,17466
是,16点,II,24,8,55,0.49,两年以上,54,九龙城,0.94,5,49200,3,250000,12846,24,1,4,0,0,6,1247348,6,45465,61,G,14,1.64,45649
否,22点,II,15,7,30,0.58,两年以上,44,北区,0.37,1,25000,6,28333,2654,20,3,10,0,0,9,122338,9,16205,62,K,19,1.11,14196
否,8点,II,0,3,19,0.44,Missing,21,深水埗,0.87,2,27495,1,15000,1598,12,1,1,0,0,9,50718,9,3029,28,Y,8,0.38,3214
否,17点,HH,7,4,52,0.56,Missing,27,南区,1.1,3,58000,1,20000,985,60,1,2,0,0,0,211536,0,6731,67,P,5,0.4,7076
否,13点,II,0,4,43,0.53,一年到两年,22,观塘,1.5,2,42500,2,10000,781,30,0,3,0,3,1,145524,0,5379,30,P,13,0.23,5564
是,17点,II,1,4,10,0.46,三个月到半年,21,葵青,0.81,2,7500,2,25000,1519,36,2,9,0,0,0,61689,0,3400,33,Y,8,0.63,3584
否,12点,II,3,4,17,0.4,两年以上,24,葵青,1.07,2,29996,2,7500,800,12,1,1,0,0,7,80379,7,3533,44,R,7,0.86,3717
否,19点,II,12,5,51,0.38,两年以上,50,沙田,0.49,3,26667,2,40000,3081,18,0,0,0,0,33,135166,30,7326,27,G,16,1,7510
是,23点,II,18,9,95,0.48,两年以上,39,西贡,0.93,4,16250,5,141000,5739,25,6,14,0,0,14,615406,0,30499,71,P,37,0.7,0
否,14点,GG,10,3,69,0.65,两年以上,35,湾仔,1.01,2,9500,1,10000,1066,12,1,6,0,1,1,22306,0,1639,20,Z,18,0.61,1984
否,11点,FF,1,0,4,0.52,Missing,36,东区,0.74,2,34000,2,32500,2069,24,1,1,1,1,0,141355,0,6578,0,Z,1,1,384
否,13点,II,0,3,16,0.56,两年以上,23,深水埗,1.04,1,49986,2,50000,3928,15,4,4,1,1,0,170755,0,9412,94,Y,4,0.75,9596
否,15点,II,12,5,50,0.53,两年以上,23,葵青,0.66,2,17000,3,32333,2078,24,11,13,0,0,1,132143,1,6905,63,Y,24,0.71,7090
否,15点,HH,8,4,31,0.7,Missing,48,屯门,0.99,1,77000,2,105000,5128,30,3,5,0,1,7,232873,5,12533,72,G,9,1,12878
否,13点,HH,10,6,71,0.46,两年以上,38,东区,0.98,4,32500,2,95000,4882,27,6,12,0,2,0,361994,0,13593,45,Z,23,0.43,13938
否,11点,II,0,3,31,0.53,Missing,31,元朗,0.51,1,50000,2,85000,4474,21,4,9,1,3,0,201126,0,9718,77,M,11,0.27,9902
是,12点,II,2,14,93,0.52,两年以上,35,大埔,0.76,8,23125,5,46000,2831,32,5,12,2,2,0,355068,0,18384,46,Z,19,0.53,18568
否,16点,II,8,9,63,0.34,三个月到半年,25,元朗,0.42,5,21000,4,9640,1522,9,7,11,1,1,34,86671,0,7404,53,Y,31,0.39,7589
否,16点,II,6,3,89,0.45,两年以上,24,南区,0.9,1,18490,2,99850,1252,108,3,3,1,2,20,227389,0,3002,17,Y,13,0.15,3186
否,17点,II,0,3,14,0.62,两年以上,47,东区,1.02,1,10000,2,140000,7571,21,6,6,0,1,0,316873,0,15447,70,D,9,0.33,15631
